gene_name,epoch,loss
MGST1,9,0.76668406
MGST1,19,0.7662035
MGST1,29,0.765705
MGST1,39,0.76512885
MGST1,49,0.76439905
MGST1,59,0.76343733
MGST1,69,0.7621224
MGST1,79,0.76030624
MGST1,89,0.7575414
MGST1,99,0.75392663
MGST1,109,0.75091445
MGST1,119,0.749764
MGST1,129,0.7495288
MGST1,139,0.74945724
MGST1,149,0.7494068
MGST1,159,0.74938154
MGST1,169,0.7493648
MGST1,179,0.7493504
MGST1,189,0.74933976
MGST1,199,0.7493328
MGST1,209,0.749328
MGST1,219,0.7493247
MGST1,229,0.749322
MGST1,239,0.7493202
MGST1,249,0.74931926
MGST1,259,0.74931884
MGST1,269,0.74931896
MGST1,279,0.74931943
MGST1,289,0.74932015
